document_uid,document_code,title,gqms_domain,gqms_type,erp_document_type,version,status,criticality,owner,effective_date,review_cycle,folder_id,folder_path,is_mandatory_group_sop,linkable_in_erp,link_blocked_reason
UID-0000320,GMG-PV-PLN-0002,PV Training and Competency Plan,PV,PLN,Other,V0.3,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-04-PLN,04_PV/PLN,,yes,
UID-0000321,GMG-PV-WIN-0002,PV Digital / Social-Media Monitoring WI,PV,WIN,Work Instruction,V0.1,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-04-WIN,04_PV/WIN,,yes,
UID-0000322,GMG-PV-MTX-0007,Signal Regulatory Requirements Matrix,PV,MTX,Matrix,V0.4,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-04-MTX,04_PV/MTX,,yes,
UID-0000323,GMG-PV-SOP-0015,EU / GMG PV Interface and Reconciliation,PV,SOP,SOP,V0.8,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-04-SOP,04_PV/SOP,,yes,
UID-0000324,GMG-PV-SOP-0016,PV Database Downtime and Business Continuity,PV,SOP,SOP,V0.6,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-04-SOP,04_PV/SOP,,yes,
UID-0000325,GMG-PV-SOP-0017,Local Safety Intake Route Qualification,PV,SOP,SOP,V0.6,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-04-SOP,04_PV/SOP,,yes,
UID-0000326,GMG-PV-SOP-0018,Market PV Activation and Readiness,PV,SOP,SOP,V0.6,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-04-SOP,04_PV/SOP,,yes,
UID-0000327,GMG-PV-SOP-0019,Safety Information Interface (Complaints / Medical Information / Commercial),PV,SOP,SOP,V0.7,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-04-SOP,04_PV/SOP,,yes,
UID-0000328,GMG-PV-SOP-0020,"PV Deviation, CAPA and Late Reporting",PV,SOP,SOP,V0.2,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-04-SOP,04_PV/SOP,,yes,
UID-0000329,GMG-PV-SOP-0021,"Market Exit, MA Transfer and PV Handover",PV,SOP,SOP,V0.8,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-04-SOP,04_PV/SOP,,yes,
UID-0000330,GMG-PV-SOP-0022,PV Training and Competency,PV,SOP,SOP,V0.6,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-04-SOP,04_PV/SOP,,yes,
UID-0000331,GMG-PV-SOP-0023,PV Data Privacy and Cross-Border Transfer,PV,SOP,SOP,V0.6,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-04-SOP,04_PV/SOP,,yes,
UID-0000332,GMG-PV-SOP-0024,Clinical Trial and Interventional Study Safety Reporting,PV,SOP,SOP,V0.6,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-04-SOP,04_PV/SOP,,yes,
UID-0000333,GMG-PV-WIN-0005,ICSR Medical Review and Case Quality Control,PV,WIN,Work Instruction,V0.3,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-04-WIN,04_PV/WIN,,yes,
UID-0000334,GMG-PV-WIN-0006,Risk-Minimisation Effectiveness Evaluation,PV,WIN,Work Instruction,V0.2,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-04-WIN,04_PV/WIN,,yes,
UID-0000335,GMG-PV-LOG-0007,SDEA / Provider Agreement Register,PV,LOG,Register,V0.1,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-04-LOG,04_PV/LOG,,yes,
UID-0000336,GMG-PV-LOG-0010,Market PV Activation Record,PV,LOG,Register,V0.1,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-04-LOG,04_PV/LOG,,yes,
UID-0000337,GMG-PV-CHK-0006,Market PV Activation Readiness Checklist,PV,CHK,Form,V0.1,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-04-CHK,04_PV/CHK,,yes,
UID-0000338,GMG-PV-FRM-0008,EU / GMG Interface Case Reconciliation Record,PV,FRM,Form,V0.2,Draft,Critical,QPPV(s) / QA Documentation,TBD,24 months,GQMS-04-FRM,04_PV/FRM,,yes,
UID-0000339,GMG-QMS-FRM-0022,"CAPA Initiation, Plan & Effectiveness Form",QMS,FRM,Form,V0.1,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000340,GMG-QMS-FRM-0023,CAPA Extension / Deadline-Modification Request,QMS,FRM,Form,V0.1,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000341,GMG-QMS-MTX-0005,Entity & Training Applicability Matrix,QMS,MTX,Matrix,V0.2,Draft,Major,Training Coordinator / GQD,TBD,24 months,GQMS-01-MTX,01_QMS/MTX,,yes,
UID-0000342,GMG-QMS-MTX-0006,GxP Regulatory Requirements & Applicability Matrix,QMS,MTX,Matrix,V0.0,Planned,Major,GRA / QA Documentation,TBD,24 months,GQMS-01-MTX,01_QMS/MTX,,no,Planned — the document does not exist yet
UID-0000343,GMG-QMS-FRM-0024,Role Qualification Profile,QMS,FRM,Form,V0.2,Draft,Critical,Training Coordinator / GQD,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000344,GMG-QMS-FRM-0025,Individual Training Plan,QMS,FRM,Form,V0.1,Draft,Major,Training Coordinator / GQD,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000345,GMG-QMS-MTX-0007,Training & Competency Release Authority Matrix,QMS,MTX,Matrix,V0.1,Draft,Major,Training Coordinator / GQD,TBD,24 months,GQMS-01-MTX,01_QMS/MTX,,yes,
UID-0000346,GMG-QMS-FRM-0026,Competency Assessment Record,QMS,FRM,Form,V0.1,Draft,Critical,Training Coordinator / GQD,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000347,GMG-QMS-FRM-0027,OJT / Supervised Execution Record,QMS,FRM,Form,V0.1,Draft,Major,Training Coordinator / GQD,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000348,GMG-QMS-FRM-0028,Independent Task Release Record,QMS,FRM,Form,V0.1,Draft,Critical,Training Coordinator / GQD,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000349,GMG-QMS-FRM-0029,Training Restriction Record,QMS,FRM,Form,V0.1,Draft,Critical,Training Coordinator / GQD,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000350,GMG-QMS-FRM-0030,Temporary Authorisation Record,QMS,FRM,Form,V0.1,Draft,Critical,Training Coordinator / GQD,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000351,GMG-QMS-FRM-0031,Trainer Qualification Record,QMS,FRM,Form,V0.2,Draft,Major,Training Coordinator / GQD,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000352,GMG-QMS-FRM-0032,Training Exception / Extension Form,QMS,FRM,Form,V0.1,Draft,Major,Training Coordinator / GQD,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000353,GMG-QMS-FRM-0033,External Training Evaluation,QMS,FRM,Form,V0.1,Draft,Major,Training Coordinator / GQD,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000354,GMG-QMS-FRM-0034,Provider Training Verification,QMS,FRM,Form,V0.1,Draft,Major,Training Coordinator / GQD,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000355,GMG-QMS-FRM-0035,Role-Change / Return-to-Work Assessment,QMS,FRM,Form,V0.1,Draft,Major,Training Coordinator / GQD,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000356,GMG-QMS-FRM-0036,Attendance / Completion Record,QMS,FRM,Form,V0.1,Draft,Major,Training Coordinator / GQD,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000357,GMG-QMS-LOG-0013,Training Status Register / Dashboard,QMS,LOG,Register,V0.3,Draft,Critical,Training Coordinator / GQD,TBD,24 months,GQMS-01-LOG,01_QMS/LOG,,yes,
UID-0000358,GMG-QMS-TPL-0004,Training Curriculum Template,QMS,TPL,Template,V0.2,Draft,Major,Training Coordinator / GQD,TBD,24 months,GQMS-01-TPL,01_QMS/TPL,,yes,
UID-0000359,GMG-QMS-LOG-0014,Question-Bank Control Register,QMS,LOG,Register,V0.4,Draft,Major,Training Coordinator / GQD,TBD,24 months,GQMS-01-LOG,01_QMS/LOG,,yes,
UID-0000360,GMG-QMS-WIN-0003,Training-system Downtime / Business-Continuity Instruction,QMS,WIN,Work Instruction,V0.0,Planned,Major,Training Coordinator / IT-CSV,TBD,24 months,GQMS-01-WIN,01_QMS/WIN,,no,Planned — the document does not exist yet
UID-0000361,GMG-PV-AGR-0005,Intercompany PV Agreement (GMG AG – GMG Grand Medical İlaçları Ltd),PV,AGR,Agreement,V0.2,Draft,Critical,QPPV,—,Duration + 10 years,GQMS-04-AGR,04_PV/AGR,,yes,
UID-0000362,GMG-PV-AGR-0006,EU QPPV / PV Service Agreement (Setonda – ELM Farmacéutica S.L.),PV,AGR,Agreement,V0.4,Draft,Critical,QPPV,—,Duration + 10 years,GQMS-04-AGR,04_PV/AGR,,yes,
UID-0000363,GMG-PV-FRM-0009,GMG QPPV Appointment & Authority Order,PV,FRM,Form,V0.6,Draft,Critical,GQD,—,Life of system + 10 years,GQMS-04-FRM,04_PV/FRM,,yes,
UID-0000381,GMG-QMS-MTX-0008,GQMS Architecture Model and Functional Crosswalk,QMS,MTX,Matrix,V0.6,Draft — final draft for approval,Critical,Global Quality Director,—,24 months,GQMS-01-MTX,01_QMS/MTX,,yes,
UID-0000382,GMG-NUT-SOP-0001,Food Supplement Quality System — Governance and Scope,NUT,SOP,SOP,V0.5,Draft,Critical,Head of Supplement Operations,—,24 months,GQMS-06-SOP,06_NUT/SOP,,yes,
UID-0000383,GMG-NUT-SOP-0002,"Product Development, Composition and Specification Control",NUT,SOP,SOP,V0.5,Draft,Critical,Head of Supplement Operations,—,24 months,GQMS-06-SOP,06_NUT/SOP,,yes,
UID-0000384,GMG-NUT-SOP-0003,"Ingredient, Packaging Material and Incoming-Control Requirements for Food Supplements",NUT,SOP,SOP,V0.4,Draft,Critical,Site QA,—,24 months,GQMS-06-SOP,06_NUT/SOP,,yes,
UID-0000385,GMG-NUT-SOP-0004,"Manufacturing, HACCP and Food-Hygiene Control",NUT,SOP,SOP,V0.5,Draft,Critical,Site QA,—,24 months,GQMS-06-SOP,06_NUT/SOP,,yes,
UID-0000386,GMG-NUT-SOP-0005,"Quality Control, Testing and Batch Release",NUT,SOP,SOP,V0.4,Draft,Critical,Site QA,—,24 months,GQMS-06-SOP,06_NUT/SOP,,yes,
UID-0000387,GMG-NUT-SOP-0006,"Labelling, Nutrition and Health Claims Control",NUT,SOP,SOP,V0.4,Draft,Critical,GRA (food),—,24 months,GQMS-06-SOP,06_NUT/SOP,,yes,
UID-0000388,GMG-NUT-SOP-0007,Regulatory Notification and Market Compliance,NUT,SOP,SOP,V0.5,Draft,Critical,GRA (food),—,24 months,GQMS-06-SOP,06_NUT/SOP,,yes,
UID-0000389,GMG-NUT-SOP-0008,"Food-Safety Complaints, Adverse Events and Safety Signal Management",NUT,SOP,SOP,V0.5,Draft,Critical,Site QA,—,24 months,GQMS-06-SOP,06_NUT/SOP,,yes,
UID-0000390,GMG-NUT-PLN-0001,Food Supplement Quality System Establishment Plan,NUT,PLN,Other,V0.2,Draft,Major,Head of Supplement Operations / GQD,—,24 months,GQMS-06-PLN,06_NUT/PLN,,yes,
UID-0000391,GMG-NUT-LOG-0001,Food Supplement Product & Composition Register,NUT,LOG,Register,V0.3,Draft,Major,GRA (food) / Head of Supplement Operations,—,24 months,GQMS-06-LOG,06_NUT/LOG,,yes,
UID-0000392,GMG-NUT-MTX-0001,Product–Market Responsibility and Legal-Entity Matrix,NUT,MTX,Matrix,V0.4,Draft,Critical,Legal / GRA (food) / GQD,—,24 months,GQMS-06-MTX,06_NUT/MTX,,yes,
UID-0000393,GMG-NUT-MTX-0002,Country Regulatory Requirements Matrix (Food Supplements),NUT,MTX,Matrix,V0.2,Draft,Critical,GRA (food),—,24 months,GQMS-06-MTX,06_NUT/MTX,,yes,
UID-0000394,GMG-NUT-FRM-0002,Market Launch and First Commercial Supply Authorisation,NUT,FRM,Form,V0.4,Draft,Critical,GQD,—,24 months,GQMS-06-FRM,06_NUT/FRM,,yes,
UID-0000395,GMG-NUT-SOP-0009,"Food-Safety Incident, Withdrawal and Recall Management",NUT,SOP,SOP,V0.3,Draft,Critical,GQD-designated Recall Decision Authority,—,24 months,GQMS-06-SOP,06_NUT/SOP,,yes,
UID-0000396,GMG-NUT-FRM-0001,Product Classification and Novel Food Status Assessment,NUT,FRM,Form,V0.2,Draft,Critical,GRA (food),—,24 months,GQMS-06-FRM,06_NUT/FRM,,yes,
UID-0000397,GMG-NUT-FRM-0003,Product Development and Stage-Gate Checklist,NUT,FRM,Form,V0.2,Draft,Critical,Head of Supplement Operations,—,24 months,GQMS-06-FRM,06_NUT/FRM,,yes,
UID-0000398,GMG-NUT-FRM-0004,Food Supplement Batch Release Checklist,NUT,FRM,Form,V0.2,Draft,Critical,Site QA,—,24 months,GQMS-06-FRM,06_NUT/FRM,,yes,
UID-0000399,GMG-NUT-FRM-0005,Change and Re-notification Assessment,NUT,FRM,Form,V0.2,Draft,Critical,GRA (food),—,24 months,GQMS-06-FRM,06_NUT/FRM,,yes,
UID-0000400,GMG-NUT-FRM-0006,Complaint and Adverse-Event Triage,NUT,FRM,Form,V0.2,Draft,Critical,Site QA,—,24 months,GQMS-06-FRM,06_NUT/FRM,,yes,
UID-0000401,GMG-NUT-FRM-0007,Label and Claims Compliance Checklist,NUT,FRM,Form,V0.2,Draft,Critical,GRA (food),—,24 months,GQMS-06-FRM,06_NUT/FRM,,yes,
UID-0000402,GMG-NUT-FRM-0008,Recall Decision and Effectiveness Record,NUT,FRM,Form,V0.2,Draft,Critical,GQD-designated Recall Decision Authority,—,24 months,GQMS-06-FRM,06_NUT/FRM,,yes,
UID-0000403,GMG-NUT-SOP-0010,"Storage, Distribution, Returns and Transport Control",NUT,SOP,SOP,V0.1,Draft,Critical,Site QA,—,24 months,GQMS-06-SOP,06_NUT/SOP,,yes,
UID-0000404,GMG-NUT-AGR-0001,Quality and Technical Agreement — Food Supplements (Template),NUT,AGR,Agreement,V0.1,Draft,Major,Site QA,—,24 months,GQMS-06-AGR,06_NUT/AGR,,yes,
UID-0000405,GMG-NUT-TPL-0001,HACCP Plan (Template),NUT,TPL,Template,V0.1,Draft,Major,Site QA,—,24 months,GQMS-06-TPL,06_NUT/TPL,,yes,
UID-0000406,GMG-NUT-TPL-0002,Local PRP / Operational Procedure (Template),NUT,TPL,Template,V0.1,Draft,Major,Site QA,—,24 months,GQMS-06-TPL,06_NUT/TPL,,yes,
UID-0000407,GMG-NUT-CHK-0001,Site Food-Safety and HACCP Readiness Checklist,NUT,CHK,Form,V0.1,Draft,Major,Site QA,—,24 months,GQMS-06-CHK,06_NUT/CHK,,yes,
UID-0000408,GMG-NUT-CHK-0002,NUT Go-Live Readiness Checklist,NUT,CHK,Form,V0.1,Draft,Major,GQD,—,24 months,GQMS-06-CHK,06_NUT/CHK,,yes,
UID-0000409,GMG-NUT-RSK-0001,Food-Fraud and Authenticity Vulnerability Assessment (Template),NUT,RSK,Other,V0.1,Draft,Major,Site QA,—,24 months,PROVISIONAL-049,06_NUT/RSK,,yes,
UID-0000410,GMG-QMS-SOP-0016,Business Continuity & Crisis Escalation,QMS,SOP,SOP,—,Planned,Critical,GQD,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,,no,Planned — the document does not exist yet
UID-0000411,GMG-QMS-SOP-0017,Inspection Management & Readiness,QMS,SOP,SOP,—,Planned,Critical,GQD,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,,no,Planned — the document does not exist yet
UID-0000412,GMG-QMS-SOP-0018,Knowledge Management,QMS,SOP,SOP,—,Planned,Major,GQD,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,,no,Planned — the document does not exist yet
UID-0000413,GMG-QMS-SOP-0019,Quality Culture & Speaking-Up,QMS,SOP,SOP,—,Planned,Major,GQD,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,,no,Planned — the document does not exist yet
UID-0000414,GMG-QMS-SOP-0020,Legal Hold & Controlled Record Destruction,QMS,SOP,SOP,—,Planned,Critical,GQD,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,,no,Planned — the document does not exist yet
UID-0000415,GMG-QMS-SOP-0021,"Merger, Acquisition & Quality-System Transfer",QMS,SOP,SOP,—,Planned,Major,GQD,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,,no,Planned — the document does not exist yet
UID-0000416,GMG-QMS-SOP-0022,"Organisational Roles, Statutory Appointments & Delegations",QMS,SOP,SOP,—,Planned,Critical,GQD,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,,no,Planned — the document does not exist yet
UID-0000417,GMG-QMS-SOP-0023,"GQMS Scope, Entity Onboarding & Local Implementation",QMS,SOP,SOP,—,Planned,Critical,GQD,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,,no,Planned — the document does not exist yet
UID-0000418,GMG-QMS-SOP-0024,Intercompany Quality Governance & Shared Services,QMS,SOP,SOP,—,Planned,Critical,GQD,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,,no,Planned — the document does not exist yet
UID-0000419,GMG-QMS-SOP-0025,"Quality Metrics, Trending & Performance Governance",QMS,SOP,SOP,—,Planned,Major,GQD,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,,no,Planned — the document does not exist yet
UID-0000420,GMG-QMS-SOP-0026,"External Requirements, Standards & Pharmacopoeia Impact Control",QMS,SOP,SOP,—,Planned,Critical,GQD,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,,no,Planned — the document does not exist yet
UID-0000421,GMG-QMS-SOP-0027,Product Quality Defect Escalation & Authority Notification Interface,QMS,SOP,SOP,—,Planned,Critical,GQD,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,,no,Planned — the document does not exist yet
UID-0000422,GMG-QMS-SOP-0028,Outsourced Activity Governance,QMS,SOP,SOP,—,Planned,Critical,GQD,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,,no,Planned — the document does not exist yet
UID-0000423,GMG-QMS-SOP-0029,GQMS Digital Repository & Controlled Access Governance,QMS,SOP,SOP,—,Planned,Critical,GQD,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,,no,Planned — the document does not exist yet
UID-0000424,GMG-QMS-SOP-0030,GQMS Effectiveness Verification & Maturity Assessment,QMS,SOP,SOP,—,Planned,Major,GQD,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,,no,Planned — the document does not exist yet
UID-0000425,GMG-QMS-SOP-0031,Group Quality Planning & Annual Quality Objectives,QMS,SOP,SOP,—,Planned,Major,GQD,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,,no,Planned — the document does not exist yet
UID-0000426,GMG-QMS-SOP-0032,"GQMS Process Ownership, Process Mapping & Interface Control",QMS,SOP,SOP,—,Planned,Major,GQD,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,,no,Planned — the document does not exist yet
UID-0000427,GMG-QMS-SOP-0033,Quality Governance Committees & Decision Records,QMS,SOP,SOP,—,Planned,Major,GQD,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,,no,Planned — the document does not exist yet
UID-0000428,GMG-QMS-SOP-0034,Local Affiliate and Country Quality Oversight,QMS,SOP,SOP,—,Planned,Critical,GQD,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,,no,Planned — the document does not exist yet
UID-0000429,GMG-QMS-SOP-0035,Quality Remediation Program Management,QMS,SOP,SOP,—,Planned,Critical,GQD,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,,no,Planned — the document does not exist yet
UID-0000430,GMG-QMS-SOP-0036,"Quality Resource, Capacity, Deputy & Succession Planning",QMS,SOP,SOP,—,Planned,Major,GQD,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,,no,Planned — the document does not exist yet
UID-0000431,GMG-HR-POL-0004,"Working Time, Annual Leave and Absence Policy",HR,POL,Policy,V0.12,Draft,Major,Group HR Director,TBD,24 months,GQMS-21-POL,30_BPG/HR/POL,,yes,
UID-0000432,GMG-HR-SOP-0021,"Working Time, Leave, Permission and Absence Administration",HR,SOP,SOP,V0.9,Draft,Major,Group HR Director,TBD,24 months,GQMS-21-SOP,30_BPG/HR/SOP,,yes,
UID-0000433,GMG-HR-TPL-0021,"Local Working Time, Leave and Absence Addendum Template",HR,TPL,Template,V0.9,Draft,Major,Group HR Director,TBD,24 months,GQMS-21-TPL,30_BPG/HR/TPL,,yes,
UID-0000434,GMG-HR-FRM-0021,"Working Time, Leave and Absence Request and Approval Form",HR,FRM,Form,V0.8,Draft,Minor,Group HR Director,TBD,24 months,GQMS-21-FRM,30_BPG/HR/FRM,,yes,
UID-0000435,GMG-QMS-STD-0002,Business Process Governance Quality Interface Standard,QMS,STD,Policy,V0.5,Draft,Critical,GQD,TBD,24 months,GQMS-01-STD,01_QMS/STD,,yes,
UID-0000436,GMG-RND-STD-0001,Finished Product Normative Document — Content and Format Standard,RND,STD,Policy,V0.2,Draft,Major,R&D / Technical,TBD,24 months,GQMS-11-STD,10_RND/STD,,yes,
UID-0000437,GMG-QMS-FRM-0008,Quality Gate Verification Record,QMS,FRM,Form,V0.4,Draft,Major,QA Documentation,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000438,GMG-QMS-LOG-0011,GQMS Register Index,QMS,LOG,Register,V0.1,Draft,Major,QA Documentation,TBD,24 months,GQMS-01-LOG,01_QMS/LOG,,yes,
UID-0000439,GMG-QMS-PLN-0008,QMS Domain Implementation Plan,QMS,PLN,Other,V0.1,Draft,Major,GQD,TBD,24 months,GQMS-01-PLN,01_QMS/PLN,,yes,
UID-0000440,GMG-CSV-PLN-0001,CSV Domain Implementation Plan,CSV,PLN,Other,V0.1,Draft,Major,IT / CSV owner,TBD,24 months,GQMS-08-PLN,08_CSV/PLN,,yes,
UID-0000441,GMG-GDP-PLN-0001,GDP Domain Implementation Plan,GDP,PLN,Other,V0.1,Draft,Major,Responsible Person,TBD,24 months,GQMS-03-PLN,03_GDP/PLN,,yes,
UID-0000442,GMG-GMP-PLN-0001,GMP Domain Implementation Plan,GMP,PLN,Other,V0.1,Draft,Major,Site QA / QP,TBD,24 months,GQMS-02-PLN,02_GMP/PLN,,yes,
UID-0000443,GMG-RAF-PLN-0001,Regulatory Affairs Domain Implementation Plan,RAF,PLN,Other,V0.1,Draft,Major,Group Regulatory Affairs,TBD,24 months,GQMS-05-PLN,05_RAF/PLN,,yes,
UID-0000444,GMG-RND-PLN-0001,R&D Domain Implementation Plan,RND,PLN,Other,V0.1,Draft,Major,R&D / Technical,TBD,24 months,GQMS-11-PLN,10_RND/PLN,,yes,
UID-0000445,GMG-PV-PLN-0006,PV Portfolio and Market Coverage Plan,PV,PLN,Other,V0.1,Draft,Major,QPPV,TBD,24 months,GQMS-04-PLN,04_PV/PLN,,yes,
UID-0000446,GMG-PV-PLN-0007,PV System Development and Implementation Plan,PV,PLN,Other,V0.8,Draft,Critical,QPPV,TBD,24 months,GQMS-04-PLN,04_PV/PLN,,yes,
UID-0000447,GMG-PV-PLN-0008,ELM Supplier Audit Plan,PV,PLN,Other,V0.3,Draft,Critical,QPPV,TBD,24 months,GQMS-04-PLN,04_PV/PLN,,yes,
UID-0000448,GMG-PV-FRM-0010,PV Accountability Mandate and Appointment,PV,FRM,Form,V0.3,Draft,Critical,QPPV,TBD,24 months,GQMS-04-FRM,04_PV/FRM,,yes,
UID-0000449,GMG-PV-JDS-0001,PV Role Descriptions,PV,JDS,Other,V0.1,Draft,Major,QPPV,TBD,24 months,GQMS-04-JDS,04_PV/JDS,,yes,
UID-0000450,GMG-PV-TIA-0001,Transfer Impact Assessment — Di10 PV,PV,TIA,Other,V0.1,Draft,Major,QPPV,TBD,24 months,GQMS-04-TIA,04_PV/TIA,,yes,
UID-0000451,GMG-HR-POL-0004-CH,Local Leave Addendum — Switzerland,HR,POL,Policy,V0.1,Void,Major,Group HR Director,TBD,24 months,GQMS-21-POL,30_BPG/HR/POL,,no,"Void — withdrawn, must not be cited"
UID-0000452,GMG-HR-POL-0004-ES,Local Leave Addendum — Spain,HR,POL,Policy,V0.1,Void,Major,Group HR Director,TBD,24 months,GQMS-21-POL,30_BPG/HR/POL,,no,"Void — withdrawn, must not be cited"
UID-0000453,GMG-HR-POL-0004-PL,Local Leave Addendum — Poland,HR,POL,Policy,V0.1,Void,Major,Group HR Director,TBD,24 months,GQMS-21-POL,30_BPG/HR/POL,,no,"Void — withdrawn, must not be cited"
UID-0000454,GMG-HR-POL-0004-TR,Local Leave Addendum — Türkiye,HR,POL,Policy,V0.1,Void,Major,Group HR Director,TBD,24 months,GQMS-21-POL,30_BPG/HR/POL,,no,"Void — withdrawn, must not be cited"
UID-0000455,GMG-HR-RSK-0021,Leave Administration — GQMS Perimeter Risk Assessment,HR,RSK,Other,V0.6,Draft,Major,Group HR Director,TBD,24 months,GQMS-21-RSK,30_BPG/HR/RSK,,yes,
UID-0000456,GMG-HR-POL-0001,Group Employment and People Management Policy,HR,POL,Policy,V0.5,Draft,Major,Group HR Director,TBD,36 months,GQMS-21-POL,30_BPG/HR/POL,,yes,
UID-0000457,GMG-HR-POL-0002,"Equal Opportunity, Diversity and Anti-Discrimination Policy",HR,POL,Policy,V0.5,Draft,Major,Group HR Director,TBD,36 months,GQMS-21-POL,30_BPG/HR/POL,,yes,
UID-0000458,GMG-HR-POL-0003,"Anti-Harassment, Respectful Workplace and Non-Retaliation Policy",HR,POL,Policy,V0.5,Draft,Critical,Group HR Director,TBD,24 months,GQMS-21-POL,30_BPG/HR/POL,,yes,
UID-0000459,GMG-HR-POL-0005,"Recruitment, Selection and Fair Hiring Policy",HR,POL,Policy,V0.5,Draft,Major,Group HR Director,TBD,36 months,GQMS-21-POL,30_BPG/HR/POL,,yes,
UID-0000460,GMG-HR-POL-0009,"Employee Conduct, Disciplinary and Grievance Policy",HR,POL,Policy,V0.5,Draft,Critical,Group HR Director,TBD,24 months,GQMS-21-POL,30_BPG/HR/POL,,yes,
UID-0000461,GMG-HR-POL-0010,"Employee Data Protection, Confidentiality and Records Policy",HR,POL,Policy,V0.5,Draft,Critical,Group HR Director,TBD,24 months,GQMS-21-POL,30_BPG/HR/POL,,yes,
UID-0000462,GMG-HR-POL-0006,"Performance, Development and Talent Management Policy",HR,POL,Policy,V0.5,Draft,Major,Group HR Director,TBD,36 months,GQMS-21-POL,30_BPG/HR/POL,,yes,
UID-0000463,GMG-HR-POL-0007,"Compensation, Benefits and Reward Governance Policy",HR,POL,Policy,V0.5,Draft,Major,Group HR Director,TBD,36 months,GQMS-21-POL,30_BPG/HR/POL,,yes,
UID-0000464,GMG-HR-POL-0008,"Flexible, Remote and Hybrid Working Policy",HR,POL,Policy,V0.5,Draft,Critical,Group HR Director,TBD,24 months,GQMS-21-POL,30_BPG/HR/POL,,yes,
UID-0000465,GMG-HR-POL-0011,"Occupational Health, Safety, Fitness and Wellbeing Policy",HR,POL,Policy,V0.5,Draft,Critical,Group HR Director,TBD,24 months,GQMS-21-POL,30_BPG/HR/POL,,yes,
UID-0000466,GMG-HR-POL-0012,"Employee Mobility, Secondment and International Assignment Policy",HR,POL,Policy,V0.5,Draft,Major,Group HR Director,TBD,36 months,GQMS-21-POL,30_BPG/HR/POL,,yes,
