full_path,folder_name,purpose,folder_type,department_domain,owning_departments,owner_function,example_documents,access_profile,retention_class,change_control_required,source_of_truth,controlled_by_gqms,legacy_code,provisioning_wave,provisioning_order
GMG-QMS-Controlled-Repository/10_RND/SOP,SOP,"Standard operating procedures — who does what, when and with which record.",document_type,RND,R&D; QC; PTM; QA,GQD / GRA where applicable,"GMG-RND-SOP-0001_v0.4_DRAFT_2026-07-11.docx — Product and API Development, Formulation and Composition Control",GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,57
GMG-QMS-Controlled-Repository/10_RND/STD,STD,Standards — mandatory group requirements below policy level.,document_type,RND,R&D; QC; PTM; QA,GQD / GRA where applicable,GMG-RND-STD-0001_Finished-Product-ND-Content-and-Format-Standard_v0.2_DRAFT_2026-07-21.docx — Finished Product Normative Document — Content and Format Standard,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,58
GMG-QMS-Controlled-Repository/30_BPG,30_BPG,Business process governance container. Holds controlled documents that govern business processes; the records those processes produce are operational records and are not filed here.,domain_container,BPG,Process Owners,GQD,,Business-Controlled,RET-08-RETIRED-NON-PRODUCT,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,2,59
GMG-QMS-Controlled-Repository/30_BPG/COM,COM,"Business process governance — commercial, marketing and customer governance documents.",domain,COM,Commercial,Process Owner — TBC,GMG-COM-AGR-0001_v0.2_DRAFT_2026-08-10.docx — Confidentiality Agreement | GMG-COM-AGR-0002_v0.3_DRAFT_2026-08-10.docx — Paid Feasibility and Development Agreement | GMG-COM-AGR-0003_v0.2_DRAFT_2026-08-10.docx — Services Agreement,Business-Controlled,RET-08-RETIRED-NON-PRODUCT,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,2,60
GMG-QMS-Controlled-Repository/30_BPG/COM/AGR,AGR,"Quality, technical, intercompany and safety-data-exchange agreements.",document_type,COM,Commercial,Process Owner — TBC,GMG-COM-AGR-0001_v0.2_DRAFT_2026-08-10.docx — Confidentiality Agreement | GMG-COM-AGR-0002_v0.3_DRAFT_2026-08-10.docx — Paid Feasibility and Development Agreement | GMG-COM-AGR-0003_v0.2_DRAFT_2026-08-10.docx — Services Agreement,Business-Controlled,RET-08-RETIRED-NON-PRODUCT,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,61
GMG-QMS-Controlled-Repository/30_BPG/COM/CHK,CHK,Controlled checklists used for verification and release.,document_type,COM,Commercial,Process Owner — TBC,GMG-COM-CHK-0001_v0.3_DRAFT_2026-08-10.docx — Independent Technical and Semantic Review Pack,Business-Controlled,RET-08-RETIRED-NON-PRODUCT,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,62
GMG-QMS-Controlled-Repository/30_BPG/COM/FRM,FRM,Controlled blank forms that generate quality records when completed.,document_type,COM,Commercial,Process Owner — TBC,GMG-COM-FRM-0001_v0.2_DRAFT_2026-08-09.docx — Initial Fit and Opportunity Qualification Record | GMG-COM-FRM-0002_v0.2_DRAFT_2026-08-10.docx — Technical Information Request and Completeness Record | GMG-COM-FRM-0003_v0.2_DRAFT_2026-08-10.docx — Cross-Functional Feasibility Record,Business-Controlled,RET-08-RETIRED-NON-PRODUCT,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,63
GMG-QMS-Controlled-Repository/30_BPG/COM/FWK,FWK,Frameworks.,document_type,COM,Commercial,Process Owner — TBC,GMG-COM-FWK-0001_v0.7_DRAFT_2026-08-06.docx — GMG Integrated Pharmaceutical Products & Solutions Portfolio Framework | GMG-COM-FWK-0002_v0.3_DRAFT_2026-08-10.docx — Contracting and Quality Agreement Framework,Business-Controlled,RET-08-RETIRED-NON-PRODUCT,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,64
GMG-QMS-Controlled-Repository/30_BPG/COM/LOG,LOG,Registers and logs — running controlled lists.,document_type,COM,Commercial,Process Owner — TBC,GMG-COM-LOG-0001_v0.2_DRAFT_2026-08-09.xlsx — Commercial Pipeline and Account Register | GMG-COM-LOG-0002_v0.2_DRAFT_2026-08-09.xlsx — Counterparty Due Diligence and Screening Register | GMG-COM-LOG-0003_v0.1_DRAFT_2026-08-05.docx — Commercial Terms Deviation Register,Business-Controlled,RET-08-RETIRED-NON-PRODUCT,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,65
GMG-QMS-Controlled-Repository/30_BPG/COM/LST,LST,"Controlled lists of named persons, contacts or items.",document_type,COM,Commercial,Process Owner — TBC,GMG-COM-LST-0001_v0.1_DRAFT_2026-08-06.docx — Commercial Domain Document Register and Architecture Control | GMG-COM-LST-0002_v0.1_DRAFT_2026-08-10.docx — Geographic Taxonomy | GMG-COM-LST-0003_v0.2_DRAFT_2026-08-10.docx — Portfolio Indicator and Performance Framework,Business-Controlled,RET-08-RETIRED-NON-PRODUCT,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,66
GMG-QMS-Controlled-Repository/30_BPG/COM/MAN,MAN,Manuals — system or quality-system descriptions.,document_type,COM,Commercial,Process Owner — TBC,GMG-COM-MAN-0002_v0.8_DRAFT_2026-08-09.docx — Pharmaceutical Products & Solutions Sales Playbook and Messaging Guide | GMG-COM-MAN-0003_v0.2_DRAFT_2026-08-10.docx — Commercial Function Governance and Management Manual,Business-Controlled,RET-08-RETIRED-NON-PRODUCT,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,67
GMG-QMS-Controlled-Repository/30_BPG/COM/MTX,MTX,"Matrices — governance, RACI, training and control matrices.",document_type,COM,Commercial,Process Owner — TBC,"GMG-COM-MTX-0001_v0.1_DRAFT_2026-08-04.docx — Site Capability and Approved Capability Statements Matrix | GMG-COM-MTX-0002_v0.1_DRAFT_2026-08-04.docx — Counterparty Classification and Due-Diligence Matrix | GMG-COM-MTX-0003_v0.1_DRAFT_2026-08-04.docx — Business Model, Overlay and Site Routing Matrix",Business-Controlled,RET-08-RETIRED-NON-PRODUCT,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,68
GMG-QMS-Controlled-Repository/30_BPG/COM/PLN,PLN,Controlled plans with a defined timeframe and deliverables.,document_type,COM,Commercial,Process Owner — TBC,GMG-COM-PLN-0001_v0.3_DRAFT_2026-08-09.docx — Document Chain Integrity Recovery Plan | GMG-COM-PLN-0002_v0.1_DRAFT_2026-08-10.docx — Commercial Annual Operating Plan | GMG-COM-PLN-0003_v0.1_DRAFT_2026-08-10.docx — Commercial Business Continuity and Key-Person Continuity Plan,Business-Controlled,RET-08-RETIRED-NON-PRODUCT,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,69
GMG-QMS-Controlled-Repository/30_BPG/COM/POL,POL,Policies — executive-level mandatory commitments.,document_type,COM,Commercial,Process Owner — TBC,GMG-COM-POL-0001_v0.1_DRAFT_2026-08-04.docx — Commercial and Business Development Policy | GMG-COM-POL-0002_v0.2_DRAFT_2026-08-05.docx — Global Expansion and Portfolio Policy,Business-Controlled,RET-08-RETIRED-NON-PRODUCT,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,70
GMG-QMS-Controlled-Repository/30_BPG/COM/RSK,RSK,Controlled risk assessments.,document_type,COM,Commercial,Process Owner — TBC,GMG-COM-RSK-0001_v0.1_DRAFT_2026-08-10.docx — Commercial Risk and Opportunity Register,Business-Controlled,RET-08-RETIRED-NON-PRODUCT,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,71
GMG-QMS-Controlled-Repository/30_BPG/COM/SOP,SOP,"Standard operating procedures — who does what, when and with which record.",document_type,COM,Commercial,Process Owner — TBC,"GMG-COM-SOP-0001_v0.1_DRAFT_2026-08-04.docx — Client Acquisition, Opportunity Management and Commercialisation | GMG-COM-SOP-0002_v0.1_DRAFT_2026-08-10.docx — Commercial Performance Management and Management Review Procedure | GMG-COM-SOP-0003_v0.1_DRAFT_2026-08-10.docx — Commercial Forecasting and Sales Planning Procedure",Business-Controlled,RET-08-RETIRED-NON-PRODUCT,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,72
GMG-QMS-Controlled-Repository/30_BPG/COM/STD,STD,Standards — mandatory group requirements below policy level.,document_type,COM,Commercial,Process Owner — TBC,"GMG-COM-STD-0001_v0.2_DRAFT_2026-08-08.docx — Commercial Terms and Approval Standard | GMG-COM-STD-0002_v0.2_DRAFT_2026-08-06.docx — Promotional and Sales Materials Standard | GMG-COM-STD-0003_v0.2_DRAFT_2026-08-10.docx — Pricing, Costing and Profitability Model",Business-Controlled,RET-08-RETIRED-NON-PRODUCT,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,73
GMG-QMS-Controlled-Repository/30_BPG/COM/TPL,TPL,Controlled layout and content templates.,document_type,COM,Commercial,Process Owner — TBC,"GMG-COM-TPL-0001_v0.3_DRAFT_2026-08-10.docx — Counterparty-Facing Document Template | GMG-COM-TPL-0002_v0.2_DRAFT_2026-08-10.docx — Strategic Account Plan and Account Review Record | GMG-COM-TPL-0003_v0.6_DRAFT_2026-08-10.docx — Client Opportunity Configuration, Proposition Drafting and Issue-Control Template",Business-Controlled,RET-08-RETIRED-NON-PRODUCT,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,74
GMG-QMS-Controlled-Repository/30_BPG/COM/URS,URS,User requirement specifications.,document_type,COM,Commercial,Process Owner — TBC,GMG-COM-URS-0001_v0.1_DRAFT_2026-08-10.docx — Commercial System User Requirements Specification,Business-Controlled,RET-08-RETIRED-NON-PRODUCT,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,75
GMG-QMS-Controlled-Repository/30_BPG/COM/WIN,WIN,Work instructions — task-level detail below an SOP.,document_type,COM,Commercial,Process Owner — TBC,GMG-COM-WIN-0001_v0.3_DRAFT_2026-08-09.docx — Client Acquisition and Commercialisation Workflow,Business-Controlled,RET-08-RETIRED-NON-PRODUCT,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,76
GMG-QMS-Controlled-Repository/30_BPG/HR,HR,"Business process governance — human resources, organisation and competence documents.",domain,HR,Human Resources,Process Owner — TBC,"GMG-HR-FRM-0021_v0.8_DRAFT_2026-08-06.docx — Working Time, Leave and Absence Request and Approval Form | GMG-HR-MTX-0010_v0.5_DRAFT_2026-08-05.xlsx — HR Record Retention and Access Matrix | GMG-HR-POL-0001_v0.5_DRAFT_2026-08-04.docx — Group Employment and People Management Policy",Confidential,RET-04-TRAINING,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,2,77
GMG-QMS-Controlled-Repository/30_BPG/HR/AGR,AGR,"Quality, technical, intercompany and safety-data-exchange agreements.",document_type,HR,Human Resources,Process Owner — TBC,MYG-HR-AGR-0001_v0.3_DRAFT_2026-08-06.docx — Acuerdo de Anticipo de Vacaciones Anuales / Annual Leave Advance Agreement,Confidential,RET-04-TRAINING,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,78
GMG-QMS-Controlled-Repository/30_BPG/HR/CHK,CHK,Controlled checklists used for verification and release.,document_type,HR,Human Resources,Process Owner — TBC,GMG-HR-CHK-0001_v0.1_DRAFT_2026-08-04.docx | GMG-HR-CHK-0002_v0.1_DRAFT_2026-08-04.docx | GMG-HR-CHK-0003_v0.1_DRAFT_2026-08-04.docx,Confidential,RET-04-TRAINING,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,79
GMG-QMS-Controlled-Repository/30_BPG/HR/FRM,FRM,Controlled blank forms that generate quality records when completed.,document_type,HR,Human Resources,Process Owner — TBC,"GMG-HR-FRM-0021_v0.8_DRAFT_2026-08-06.docx — Working Time, Leave and Absence Request and Approval Form | GMG-HR-FRM-0001_v0.1_DRAFT_2026-08-04.docx | GMG-HR-FRM-0002_v0.1_DRAFT_2026-08-04.docx",Confidential,RET-04-TRAINING,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,80
GMG-QMS-Controlled-Repository/30_BPG/HR/LOG,LOG,Registers and logs — running controlled lists.,document_type,HR,Human Resources,Process Owner — TBC,GMG-HR-LOG-0001_v0.1_DRAFT_2026-08-04.xlsx | GMG-HR-LOG-0002_v0.1_DRAFT_2026-08-04.xlsx | GMG-HR-LOG-0003_v0.1_DRAFT_2026-08-04.xlsx,Confidential,RET-04-TRAINING,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,81
GMG-QMS-Controlled-Repository/30_BPG/HR/MTX,MTX,"Matrices — governance, RACI, training and control matrices.",document_type,HR,Human Resources,Process Owner — TBC,GMG-HR-MTX-0010_v0.5_DRAFT_2026-08-05.xlsx — HR Record Retention and Access Matrix | GMG-HR-MTX-0001_v0.1_DRAFT_2026-08-04.xlsx | GMG-HR-MTX-0002_v0.1_DRAFT_2026-08-04.xlsx,Confidential,RET-04-TRAINING,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,82
GMG-QMS-Controlled-Repository/30_BPG/HR/PLN,PLN,Controlled plans with a defined timeframe and deliverables.,document_type,HR,Human Resources,Process Owner — TBC,GMG-HR-PLN-0001_v0.1_DRAFT_2026-08-04.docx | GMG-HR-PLN-0002_v0.1_DRAFT_2026-08-04.docx | GMG-HR-PLN-0003_v0.1_DRAFT_2026-08-04.docx,Confidential,RET-04-TRAINING,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,83
GMG-QMS-Controlled-Repository/30_BPG/HR/POL,POL,Policies — executive-level mandatory commitments.,document_type,HR,Human Resources,Process Owner — TBC,"GMG-HR-POL-0001_v0.5_DRAFT_2026-08-04.docx — Group Employment and People Management Policy | GMG-HR-POL-0002_v0.5_DRAFT_2026-08-04.docx — Equal Opportunity, Diversity and Anti-Discrimination Policy | GMG-HR-POL-0003_v0.5_DRAFT_2026-08-04.docx — Anti-Harassment, Respectful Workplace and Non-Retaliation Policy",Confidential,RET-04-TRAINING,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,84
GMG-QMS-Controlled-Repository/30_BPG/HR/RPT,RPT,Controlled technical reports.,document_type,HR,Human Resources,Process Owner — TBC,GMG-HR-RPT-0001_v0.1_DRAFT_2026-08-04.xlsx | GMG-HR-RPT-0002_v0.1_DRAFT_2026-08-04.docx | GMG-HR-RPT-0003_v0.1_DRAFT_2026-08-04.docx,Confidential,RET-04-TRAINING,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,85
GMG-QMS-Controlled-Repository/30_BPG/HR/RSK,RSK,Controlled risk assessments.,document_type,HR,Human Resources,Process Owner — TBC,GMG-HR-RSK-0021_v0.6_DRAFT_2026-08-05.docx — Leave Administration — GQMS Perimeter Risk Assessment | GMG-HR-RSK-0001_v0.1_DRAFT_2026-08-03_SUPERSEDED_renumbered.docx,Confidential,RET-04-TRAINING,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,86
GMG-QMS-Controlled-Repository/30_BPG/HR/SOP,SOP,"Standard operating procedures — who does what, when and with which record.",document_type,HR,Human Resources,Process Owner — TBC,"GMG-HR-SOP-0021_v0.9_DRAFT_2026-08-06.docx — Working Time, Leave, Permission and Absence Administration | GMG-HR-SOP-0001_v0.1_DRAFT_2026-08-04.docx | GMG-HR-SOP-0002_v0.1_DRAFT_2026-08-04.docx",Confidential,RET-04-TRAINING,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,87
GMG-QMS-Controlled-Repository/30_BPG/HR/STD,STD,Standards — mandatory group requirements below policy level.,document_type,HR,Human Resources,Process Owner — TBC,"MYG-HR-STD-0001_v0.2_DRAFT_2026-08-06.docx — Anexo Local de Tiempo de Trabajo, Vacaciones y Ausencias / Local Working Time, Leave and Absence Addendum | GMG-HR-STD-0001_v0.1_DRAFT_2026-08-04.docx",Confidential,RET-04-TRAINING,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,88
GMG-QMS-Controlled-Repository/30_BPG/HR/TPL,TPL,Controlled layout and content templates.,document_type,HR,Human Resources,Process Owner — TBC,"GMG-HR-TPL-0021_v0.9_DRAFT_2026-08-06.docx — Local Working Time, Leave and Absence Addendum Template | GMG-HR-TPL-0022_v0.1_DRAFT_2026-08-06.docx — Annual Leave Advance Agreement Template | GMG-HR-TPL-0001_v0.1_DRAFT_2026-08-04.docx",Confidential,RET-04-TRAINING,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,89
GMG-QMS-Controlled-Repository/30_BPG/HR/WIN,WIN,Work instructions — task-level detail below an SOP.,document_type,HR,Human Resources,Process Owner — TBC,GMG-HR-WIN-0001_v0.1_DRAFT_2026-08-04.docx | GMG-HR-WIN-0002_v0.1_DRAFT_2026-08-04.docx | GMG-HR-WIN-0003_v0.1_DRAFT_2026-08-04.docx,Confidential,RET-04-TRAINING,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,90
GMG-QMS-Controlled-Repository/30_BPG/SCM,SCM,"Business process governance — supply chain, demand planning and master data documents.",domain,SCM,Supply Chain,Process Owner — TBC,GMG-SCM-FRM-0001_v1.0_DRAFT_2026-07-11.docx — Material and Product Code Request / Allocation | GMG-SCM-LOG-0001_v0.3_DRAFT_2026-07-11.xlsx — Material Master Register | GMG-SCM-SOP-0001_v0.3_DRAFT_2026-07-11.docx — Material and Product Master Data Coding,Controlled-Where-Regulated,RET-08-RETIRED-NON-PRODUCT,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,2,91
GMG-QMS-Controlled-Repository/30_BPG/SCM/FRM,FRM,Controlled blank forms that generate quality records when completed.,document_type,SCM,Supply Chain,Process Owner — TBC,GMG-SCM-FRM-0001_v1.0_DRAFT_2026-07-11.docx — Material and Product Code Request / Allocation,Controlled-Where-Regulated,RET-08-RETIRED-NON-PRODUCT,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,92
GMG-QMS-Controlled-Repository/30_BPG/SCM/LOG,LOG,Registers and logs — running controlled lists.,document_type,SCM,Supply Chain,Process Owner — TBC,GMG-SCM-LOG-0001_v0.3_DRAFT_2026-07-11.xlsx — Material Master Register,Controlled-Where-Regulated,RET-08-RETIRED-NON-PRODUCT,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,93
GMG-QMS-Controlled-Repository/30_BPG/SCM/SOP,SOP,"Standard operating procedures — who does what, when and with which record.",document_type,SCM,Supply Chain,Process Owner — TBC,GMG-SCM-SOP-0001_v0.3_DRAFT_2026-07-11.docx — Material and Product Master Data Coding,Controlled-Where-Regulated,RET-08-RETIRED-NON-PRODUCT,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,94
GMG-QMS-Controlled-Repository/30_BPG/SCM/TPL,TPL,Controlled layout and content templates.,document_type,SCM,Supply Chain,Process Owner — TBC,GMG-SCM-TPL-0001_v1.0_DRAFT_2026-07-11.docx — Specification Template,Controlled-Where-Regulated,RET-08-RETIRED-NON-PRODUCT,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,95
GMG-QMS-Controlled-Repository/30_BPG/SCM/WIN,WIN,Work instructions — task-level detail below an SOP.,document_type,SCM,Supply Chain,Process Owner — TBC,GMG-SCM-WIN-0001_v1.0_DRAFT_2026-07-11.docx — Code Allocation Work Instruction,Controlled-Where-Regulated,RET-08-RETIRED-NON-PRODUCT,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,96
GMG-QMS-Controlled-Repository/90_Registers,90_Registers,Repository control registers and master lists.,record_area,QMS,QA Documentation,GQD,GMG-QMS-LOG-0001_v1.09_DRAFT_2026-08-10.xlsx — Document Master Register | GMG-QMS-LOG-0002_v1.0_DRAFT_2026-07-11.xlsx — Controlled Copy Log | GMG-QMS-LOG-0004_v0.3_DRAFT_2026-07-11.xlsx — Document Retention Schedule,GQMS-Controlled,RET-03-REGISTER,yes,GMG-QMS-LOG-0007 (Storage Location Register),no,,4,97
GMG-QMS-Controlled-Repository/91_Implementation,91_Implementation,Implementation plans and trackers for the quality system build.,record_area,QMS,QA Documentation,GQD,00_all_folders_2175.csv | 00_folder_list_flat.json | 00_folder_tree.json,GQMS-Controlled,RET-03-REGISTER,yes,GMG-QMS-LOG-0007 (Storage Location Register),no,,4,98
GMG-QMS-Controlled-Repository/92_Approval_Records,92_Approval_Records,Approval and release evidence for controlled documents.,record_area,QMS,QA Documentation,GQD,GMG-PV-Appointment-Order-DeputyQPPV_Prikaz-6P-21P_2025-06-09_Argyngazykyzy.pdf | GMG-PV-Appointment-Order-QPPV_Prikaz-1P-21P_2026-05-04_Musayev.pdf | GMG-PV-Deputy-Order-and-Authority-Notification_2026-08-05.md,GQMS-Controlled,RET-02-APPROVAL-WORKFLOW,yes,GMG-QMS-LOG-0007 (Storage Location Register),no,,4,99
GMG-QMS-Controlled-Repository/93_Risk_and_Compliance,93_Risk_and_Compliance,"Risk assessments, inspection readiness and compliance evidence.",record_area,QMS,QA Documentation; GQD,GQD,GMG-PV-SOP-Review_Proposed-Changes_2026-08-05.xlsx | GMG-PVigi-FSAD-Bilgi-Talebi-Yanit_2026-08-05_GONDERIM.xlsx | GMG-PVigi-duzeltme-notu_2026-08-05.md,GQMS-Controlled,RET-06-QUALITY-EVENT,yes,GMG-QMS-LOG-0007 (Storage Location Register),no,,4,100
GMG-QMS-Controlled-Repository/95_Training,95_Training,"Training attendance, effectiveness and competence evidence linked to controlled documents.",record_area,QMS,Training Coordinator; Local QA,GQD,GMG-PV-WIN-0004-M1_PV-Training-Session-Pack-Module-1_v0.2_DRAFT_2026-08-08.pdf — Pharmacovigilance Training Curriculum,GQMS-Controlled,RET-04-TRAINING,yes,GMG-QMS-LOG-0007 (Storage Location Register),no,,4,101
GMG-QMS-Controlled-Repository/96_Audits,96_Audits,"Internal and external audit records, findings and CAPA evidence.",record_area,QMS,QA Documentation; GQD,GQD,GMG-PV-PLN-0007-A-v0.4-Apply-Sheet_v0.1_DRAFT_2026-08-03.xlsx — PV System Development and Implementation Plan | GMG-PV-DEC-0001_Organisation-and-Roles-Decision-Record_v0.1_DRAFT_2026-08-03.docx | GMG-PV-CC-0002_Stale-Code-References_v0.1_DRAFT_2026-08-08.docx,GQMS-Controlled,RET-06-QUALITY-EVENT,yes,GMG-QMS-LOG-0007 (Storage Location Register),no,,4,102
GMG-QMS-Controlled-Repository/99_Archive,99_Archive,Superseded and retired material retained under the retention schedule.,record_area,QMS,QA Documentation,GQD,GMG-NUT-FRM-0001_v0.1_SUPERSEDED_2026-08-01.docx — Product Classification and Novel Food Status Assessment | GMG-NUT-FRM-0002_v0.1_SUPERSEDED_2026-08-01.docx — Market Launch and First Commercial Supply Authorisation | GMG-NUT-FRM-0003_v0.1_SUPERSEDED_2026-08-01.docx — Product Development and Stage-Gate Checklist,Archive-Restricted,RET-08-RETIRED-NON-PRODUCT,yes,GMG-QMS-LOG-0007 (Storage Location Register),no,,4,103
